City,Temp,Pressure,Humidity,Wind,Clouds,Lat,Long,Count
hobart,3.44,1040.0,93.0,2.6,75.0,-42.88,147.33,1.0
san carlos de bariloche,6,1022.0,52.0,5.7,20.0,-41.13,-71.31,2.0
atuona,26.65,1012.81,68.0,3.64,30.0,-9.8,-139.03,3.0
mersing,24.15,1010.34,94.0,0.74,0.0,2.43,103.84,4.0
upernavik,5.85,1023.16,70.0,4.71,0.0,72.79,-56.15,5.0
ushuaia,-1.91,1014.0,86.0,1.5,0.0,-54.81,-68.31,6.0
porto,21.48,1015.0,82.0,2.1,0.0,41.15,-8.61,7.0
qianan,22.65,994.76,68.0,5.62,81.0,44.99,124.06,8.0
mar del plata,2.45,1022.76,59.0,5.12,0.0,-46.43,-67.52,9.0
havoysund,7.5,998.0,87.0,3.1,75.0,71.0,24.66,10.0
kapaa,26.21,1014.0,74.0,1.5,75.0,22.08,-159.32,11.0
cherskiy,9.95,1009.95,60.0,2.45,99.0,68.75,161.3,12.0
ilulissat,11,1021.0,50.0,2.1,40.0,69.22,-51.1,13.0
marquette,28.73,1014.0,54.0,7.2,90.0,46.54,-87.4,14.0
geraldton,21,1012.0,94.0,2.1,75.0,49.72,-86.95,15.0
tiksi,1.95,1005.09,90.0,2.33,100.0,71.64,128.87,16.0
pisco,19.88,1014.0,30.0,3.1,90.0,-13.71,-76.2,17.0
michigan city,30.55,1016.0,28.0,4.1,40.0,41.71,-86.9,18.0
nikolskoye,14.79,1005.0,54.0,5.0,20.0,59.7,30.79,19.0
okhotsk,8.45,1009.49,97.0,4.33,100.0,59.36,143.24,20.0
busselton,9.04,1004.0,98.0,12.79,78.0,-33.64,115.35,21.0
atchison,24.47,1014.0,88.0,2.6,90.0,39.56,-95.12,22.0
qaanaaq,5.95,1024.15,58.0,1.56,96.0,77.48,-69.36,23.0
jamestown,9.85,1029.48,80.0,5.62,0.0,-33.21,138.6,24.0
bethel,10.76,1027.0,100.0,0.96,90.0,60.79,-161.76,25.0
alofi,23,1017.0,73.0,5.7,9.0,-19.06,-169.92,26.0
mataura,5,1031.0,95.0,0.89,60.0,-46.19,168.86,27.0
sao filipe,23.25,1012.5,85.0,9.06,92.0,14.9,-24.5,28.0
lorengau,25.55,1009.62,81.0,1.2,68.0,-2.02,147.27,29.0
carnarvon,10.75,1020.37,24.0,3.83,1.0,-30.97,22.13,30.0
cape town,15.24,1021.0,72.0,9.8,75.0,-33.93,18.42,31.0
aranos,11.45,1019.33,45.0,1.76,0.0,-24.14,19.11,32.0
airai,18.05,1014.41,79.0,2.38,0.0,-8.93,125.41,33.0
bredasdorp,15.44,1019.0,55.0,6.7,100.0,-34.53,20.04,34.0
new norfolk,3.44,1040.0,93.0,2.6,75.0,-42.78,147.06,35.0
albany,31.1,1018.0,40.0,1.5,75.0,42.65,-73.75,36.0
hithadhoo,29.15,1010.76,77.0,5.54,100.0,-0.6,73.08,37.0
itarema,29.75,1010.34,63.0,5.13,14.0,-2.92,-39.92,38.0
bluff,15.15,1022.22,85.0,8.57,100.0,-23.58,149.07,39.0
hilo,23.31,1014.0,88.0,3.1,90.0,19.71,-155.08,40.0
vila,28.87,1016.0,45.0,2.1,20.0,45.18,8.4,41.0
hickory,32.07,1017.0,52.0,3.1,1.0,35.73,-81.34,42.0
khatanga,10.65,1008.48,63.0,5.86,100.0,71.98,102.47,43.0
coquimbo,20.16,1014.0,67.0,5.7,0.0,-29.95,-71.34,44.0
agdas,22,1012.0,73.0,1.87,1.0,40.65,47.48,45.0
celestun,27.35,1014.15,83.0,7.46,0.0,20.87,-90.4,46.0
sitka,32.78,1005.0,49.0,7.15,0.0,37.17,-99.65,47.0
hami,29.25,1004.86,22.0,16.27,46.0,42.84,93.51,48.0
port elizabeth,30.96,1017.0,59.0,5.1,1.0,39.31,-74.98,49.0
port hardy,13,1018.0,87.0,1.5,90.0,50.7,-127.42,50.0
brigantine,29.68,1018.0,62.0,4.6,1.0,39.41,-74.36,51.0
lake havasu city,34.96,1009.0,11.0,6.2,1.0,34.47,-114.34,52.0
nyuksenitsa,12.15,993.52,96.0,1.7,98.0,60.41,44.24,53.0
burns lake,10.65,1016.9,93.0,1.69,100.0,54.23,-125.76,54.0
yining,22.75,1003.31,96.0,0.53,100.0,29.04,114.56,55.0
norman wells,20,1020.0,52.0,4.1,75.0,65.28,-126.83,56.0
rikitea,19.35,1021.49,67.0,10.85,66.0,-23.12,-134.97,57.0
neuquen,6,1025.0,81.0,1.0,75.0,-38.95,-68.06,58.0
tasiilaq,12,1022.0,54.0,3.1,5.0,65.61,-37.64,59.0
porto novo,18,1013.0,93.0,2.6,90.0,-23.68,-45.44,60.0
dole,28.01,1017.0,39.0,4.6,0.0,47.09,5.49,61.0
lompoc,18.52,1016.0,82.0,5.1,90.0,34.64,-120.46,62.0
vaini,25.95,1007.17,87.0,3.1,100.0,15.34,74.49,63.0
